student_id,course_code,session,mid1,mid2,assignment,final,total_marks,grade
202223_100,CS301,2022-23,19.4,16.6,7.2,62.9,64.1,BC
202223_101,CS301,2022-23,11.4,15.5,8.8,37.7,47.5,CD
202223_102,CS301,2022-23,21.3,15.9,4.8,63.3,59.9,C
202223_103,CS301,2022-23,17.2,20.0,9.7,57.5,61.2,C
202223_104,CS301,2022-23,12.7,23.6,7.4,47.5,55.4,C
202223_105,CS301,2022-23,13.3,20.1,9.0,63.0,62.3,C
202223_106,CS301,2022-23,23.7,21.5,6.5,53.7,62.3,C
202223_107,CS301,2022-23,23.8,22.2,10.0,79.5,82.1,A
202223_108,CS301,2022-23,26.0,22.5,5.9,57.9,69.7,BC
202223_109,CS301,2022-23,13.7,24.2,7.4,74.1,69.9,BC
202223_110,CS301,2022-23,25.6,28.3,10.0,62.3,80.8,A
202223_111,CS301,2022-23,13.5,12.0,6.0,42.5,41.4,D
202223_112,CS301,2022-23,21.3,22.4,8.3,71.4,72.6,AB
202223_113,CS301,2022-23,19.4,22.4,9.2,76.7,73.6,AB
202223_114,CS301,2022-23,30.0,30.0,10.0,87.5,89.1,A
202223_115,CS301,2022-23,21.3,20.9,7.6,62.8,66.9,BC
202223_116,CS301,2022-23,25.1,22.0,9.5,48.4,64.7,BC
202223_117,CS301,2022-23,21.3,23.3,10.0,50.8,68.9,BC
202223_118,CS301,2022-23,15.7,16.3,6.0,45.4,51.6,CD
202223_119,CS301,2022-23,23.0,22.1,9.5,63.3,68.7,BC
202223_120,CS301,2022-23,22.0,22.8,10.0,62.6,75.8,AB
202223_121,CS301,2022-23,23.9,27.0,9.1,66.3,79.2,AB
202223_122,CS301,2022-23,11.2,13.5,9.3,59.4,56.9,C
202223_123,CS301,2022-23,18.2,23.5,9.8,66.2,70.2,BC
202223_124,CS301,2022-23,21.4,15.7,5.3,61.0,58.2,C
202223_125,CS301,2022-23,20.7,25.1,10.0,60.3,69.8,BC
202223_126,CS301,2022-23,24.6,18.5,7.0,51.9,64.4,BC
202223_127,CS301,2022-23,18.4,16.1,6.2,46.3,57.1,C
202223_128,CS301,2022-23,20.5,20.8,6.3,56.2,65.9,BC
202223_129,CS301,2022-23,19.2,27.7,8.2,50.2,63.3,BC
202223_130,CS301,2022-23,16.2,18.9,7.3,63.5,59.6,C
202223_131,CS301,2022-23,15.1,12.5,7.4,61.9,57.1,C
202223_132,CS301,2022-23,14.8,26.5,7.4,68.1,64.5,BC
202223_133,CS301,2022-23,17.8,10.4,9.3,48.7,53.3,CD
202223_134,CS301,2022-23,13.8,11.0,8.2,75.0,61.8,C
202223_135,CS301,2022-23,22.2,20.3,6.2,57.0,61.9,C
202223_136,CS301,2022-23,26.8,22.4,10.0,67.4,72.5,AB
202223_137,CS301,2022-23,16.6,11.7,8.3,43.3,50.1,CD
202223_138,CS301,2022-23,21.8,21.2,5.5,52.1,59.0,C
202223_139,CS301,2022-23,29.7,24.1,10.0,63.3,74.6,AB
202223_140,CS301,2022-23,18.4,12.6,7.4,48.6,45.1,D
202223_141,CS301,2022-23,12.2,13.8,8.4,59.1,55.3,C
202223_142,CS301,2022-23,19.9,28.0,10.0,70.5,81.6,A
202223_143,CS301,2022-23,12.2,17.8,6.6,51.5,56.5,C
202223_144,CS301,2022-23,19.7,19.2,9.5,70.4,69.4,BC
202223_145,CS301,2022-23,21.9,27.6,6.0,68.7,71.9,AB
202223_146,CS301,2022-23,20.2,18.2,8.2,51.3,60.6,C
202223_147,CS301,2022-23,13.6,7.1,5.6,17.8,25.8,F
202223_148,CS301,2022-23,9.8,10.4,4.4,52.1,44.7,D
202223_149,CS301,2022-23,18.0,20.1,10.0,46.6,60.7,C
202223_150,CS301,2022-23,15.1,21.4,6.5,58.3,63.1,C
202223_151,CS301,2022-23,17.7,20.1,6.8,50.5,57.1,C
202223_152,CS301,2022-23,18.5,24.7,5.0,49.7,58.1,C
202223_153,CS301,2022-23,15.2,13.7,7.3,62.4,55.6,C
202223_154,CS301,2022-23,24.3,26.4,6.5,67.8,72.1,AB
202223_155,CS301,2022-23,17.2,20.4,10.0,55.5,62.2,C
202223_156,CS301,2022-23,25.5,20.6,8.5,23.4,51.8,CD
202223_157,CS301,2022-23,28.2,27.2,8.4,68.4,81.8,A
202223_158,CS301,2022-23,21.7,22.8,10.0,65.6,70.4,BC
202223_159,CS301,2022-23,12.9,18.9,8.6,36.0,51.5,CD
202223_160,CS301,2022-23,23.3,22.5,7.8,62.8,69.1,BC
202223_161,CS301,2022-23,15.1,20.2,3.5,53.1,53.6,CD
202223_162,CS301,2022-23,25.7,30.0,10.0,77.2,83.9,A
202223_163,CS301,2022-23,30.0,24.2,7.8,69.0,72.3,AB
202223_164,CS301,2022-23,17.3,20.8,4.5,44.3,54.2,CD
202223_165,CS301,2022-23,28.7,23.6,10.0,81.4,87.5,A
202223_166,CS301,2022-23,17.9,26.5,10.0,59.1,68.5,BC
202223_167,CS301,2022-23,22.9,19.9,9.3,66.2,71.1,BC
202223_168,CS301,2022-23,30.0,30.0,9.9,64.9,83.7,A
202223_169,CS301,2022-23,16.7,19.0,7.2,53.0,53.6,CD
202223_170,CS301,2022-23,22.7,10.1,8.2,41.0,49.3,CD
202223_171,CS301,2022-23,19.4,17.5,8.3,50.3,60.0,C
202223_172,CS301,2022-23,15.7,15.1,8.9,71.6,62.1,C
202223_173,CS301,2022-23,24.5,25.4,8.3,50.5,67.6,BC
202223_174,CS301,2022-23,26.4,19.7,8.1,49.4,60.1,C
202223_175,CS301,2022-23,26.9,22.3,7.8,84.5,84.0,A
202223_176,CS301,2022-23,15.4,13.3,6.6,60.5,55.9,C
202223_177,CS301,2022-23,18.6,19.3,5.7,55.9,54.9,CD
202223_178,CS301,2022-23,24.3,14.6,9.9,81.8,79.6,AB
202223_179,CS301,2022-23,22.4,15.8,5.1,59.6,58.5,C
202223_180,CS301,2022-23,30.0,30.0,10.0,95.8,95.8,A
202223_181,CS301,2022-23,21.2,23.8,9.2,67.4,73.4,AB
202223_182,CS301,2022-23,10.7,17.9,8.9,44.9,53.2,CD
202223_183,CS301,2022-23,13.8,8.9,8.8,63.5,53.2,CD
202223_184,CS301,2022-23,22.9,20.3,7.9,54.7,64.2,BC
202223_185,CS301,2022-23,19.8,17.9,6.4,61.6,63.4,BC
202223_186,CS301,2022-23,26.7,17.5,10.0,68.3,75.3,AB
202223_187,CS301,2022-23,25.2,28.2,6.6,77.2,81.3,A
202223_188,CS301,2022-23,24.6,26.3,6.9,81.5,80.6,A
202223_189,CS301,2022-23,18.2,17.7,8.6,56.3,58.7,C
202223_190,CS301,2022-23,7.2,14.1,4.3,37.0,37.3,F
202223_191,CS301,2022-23,18.3,17.8,7.8,56.4,57.4,C
202223_192,CS301,2022-23,24.4,14.8,6.5,61.0,55.8,C
202223_193,CS301,2022-23,19.3,17.3,7.7,75.6,71.0,BC
202223_194,CS301,2022-23,13.8,15.9,7.5,57.7,58.4,C
202223_195,CS301,2022-23,18.4,18.0,6.6,61.4,55.7,C
202223_196,CS301,2022-23,24.3,19.1,8.6,62.1,66.1,BC
202223_197,CS301,2022-23,13.6,21.8,6.9,31.6,47.8,CD
202223_198,CS301,2022-23,25.3,25.1,8.2,55.9,74.9,AB
202223_199,CS301,2022-23,19.9,17.4,8.0,71.0,68.5,BC
202223_200,CS301,2022-23,18.1,20.5,9.2,48.2,57.2,C
202223_001,EC204,2022-23,20.5,28.9,6.0,78.4,76.4,A
202223_002,EC204,2022-23,24.5,19.0,7.0,54.2,63.5,BC
202223_003,EC204,2022-23,20.5,19.6,7.3,71.7,68.5,AB
202223_004,EC204,2022-23,22.9,19.0,8.9,58.5,65.4,BC
202223_005,EC204,2022-23,13.7,8.3,4.4,38.1,42.2,D
202223_006,EC204,2022-23,12.7,9.9,8.4,54.1,53.9,C
202223_007,EC204,2022-23,25.7,25.8,8.5,84.5,81.9,A
202223_008,EC204,2022-23,28.6,24.2,7.2,66.8,77.9,A
202223_009,EC204,2022-23,19.3,11.5,8.4,50.2,56.0,C
202223_010,EC204,2022-23,26.5,30.0,10.0,74.7,82.2,A
202223_011,EC204,2022-23,17.1,16.2,5.5,41.1,50.3,CD
202223_012,EC204,2022-23,13.2,19.7,5.3,61.9,62.0,BC
202223_013,EC204,2022-23,24.7,27.9,5.7,69.6,72.7,AB
202223_014,EC204,2022-23,12.9,17.5,5.5,37.8,42.4,D
202223_015,EC204,2022-23,11.5,11.6,7.6,35.2,43.2,CD
202223_016,EC204,2022-23,30.0,14.5,6.3,56.2,64.8,BC
202223_017,EC204,2022-23,15.0,5.3,7.6,39.4,42.3,D
202223_018,EC204,2022-23,16.6,16.4,5.2,55.9,56.0,C
202223_019,EC204,2022-23,13.2,14.2,8.8,66.8,61.4,BC
202223_020,EC204,2022-23,18.4,10.3,4.6,41.6,41.1,D
202223_021,EC204,2022-23,28.4,26.6,10.0,72.4,85.5,A
202223_022,EC204,2022-23,9.3,15.4,9.4,39.2,48.4,CD
202223_023,EC204,2022-23,23.7,19.2,9.7,65.7,70.6,AB
202223_024,EC204,2022-23,8.5,8.9,5.2,35.3,34.3,F
202223_025,EC204,2022-23,23.2,17.0,3.2,42.3,47.3,CD
202223_026,EC204,2022-23,25.2,22.8,9.3,73.5,79.3,A
202223_027,EC204,2022-23,13.2,10.6,8.6,60.2,56.0,C
202223_028,EC204,2022-23,23.1,24.2,10.0,47.7,65.2,BC
202223_029,EC204,2022-23,15.7,15.3,8.4,28.7,46.2,CD
202223_030,EC204,2022-23,22.2,19.0,5.4,65.5,64.8,BC
202223_031,EC204,2022-23,17.3,18.7,7.5,40.4,53.0,C
202223_032,EC204,2022-23,22.4,26.1,6.6,78.6,75.6,AB
202223_033,EC204,2022-23,16.4,22.8,8.3,35.4,52.1,C
202223_034,EC204,2022-23,17.9,15.6,8.1,52.9,56.4,C
202223_035,EC204,2022-23,24.2,22.3,10.0,58.0,70.6,AB
202223_036,EC204,2022-23,14.1,17.4,10.0,55.1,57.6,C
202223_037,EC204,2022-23,12.4,11.4,9.9,48.7,49.8,CD
202223_038,EC204,2022-23,13.9,13.3,4.0,30.5,39.4,D
202223_039,EC204,2022-23,20.8,13.4,5.1,37.7,45.6,CD
202223_040,EC204,2022-23,16.9,19.9,5.3,66.8,59.3,C
202223_041,EC204,2022-23,20.1,19.4,7.8,58.8,67.9,AB
202223_042,EC204,2022-23,24.6,11.3,7.3,61.8,65.5,BC
202223_043,EC204,2022-23,19.0,16.9,5.2,75.9,63.9,BC
202223_044,EC204,2022-23,21.0,19.6,7.7,40.4,56.6,C
202223_045,EC204,2022-23,7.5,12.8,4.0,54.5,43.6,CD
202223_046,EC204,2022-23,17.3,11.6,9.3,48.9,53.7,C
202223_047,EC204,2022-23,15.6,21.9,7.6,40.4,53.6,C
202223_048,EC204,2022-23,25.1,17.5,8.1,47.5,59.7,BC
202223_049,EC204,2022-23,27.6,26.8,7.2,62.9,73.0,AB
202223_050,EC204,2022-23,23.2,15.6,5.4,51.7,55.4,C
202223_051,EC204,2022-23,19.9,15.1,9.3,51.3,56.0,C
202223_052,EC204,2022-23,20.3,26.5,6.9,70.7,71.3,AB
202223_053,EC204,2022-23,20.9,15.0,5.3,43.6,50.9,CD
202223_054,EC204,2022-23,21.4,26.3,8.4,63.9,70.3,AB
202223_055,EC204,2022-23,21.0,23.9,6.4,44.6,60.4,BC
202223_056,EC204,2022-23,20.1,18.2,6.9,64.1,68.2,AB
202223_057,EC204,2022-23,18.7,24.0,6.2,62.2,64.3,BC
202223_058,EC204,2022-23,21.5,15.6,8.0,45.5,56.1,C
202223_059,EC204,2022-23,16.9,21.8,8.1,33.4,51.8,C
202223_060,EC204,2022-23,27.9,24.3,8.1,67.9,78.0,A
202223_061,EC204,2022-23,20.5,15.2,10.0,51.8,59.9,BC
202223_062,EC204,2022-23,17.6,21.5,7.4,57.3,64.0,BC
202223_063,EC204,2022-23,1.2,13.4,6.7,45.5,40.4,D
202223_064,EC204,2022-23,10.5,6.0,6.6,30.6,29.8,F
202223_065,EC204,2022-23,26.1,26.5,8.9,67.3,79.8,A
202223_066,EC204,2022-23,21.3,14.2,8.1,72.8,70.3,AB
202223_067,EC204,2022-23,17.6,25.5,4.6,43.2,53.0,C
202223_068,EC204,2022-23,17.9,24.5,9.2,60.5,67.8,AB
202223_069,EC204,2022-23,22.5,14.7,9.9,51.1,61.9,BC
202223_070,EC204,2022-23,18.8,15.2,8.1,49.5,55.0,C
202223_071,EC204,2022-23,21.7,17.6,9.4,67.1,71.8,AB
202223_072,EC204,2022-23,20.3,20.5,9.4,56.7,70.8,AB
202223_073,EC204,2022-23,19.2,19.3,6.7,52.6,56.7,C
202223_074,EC204,2022-23,20.8,27.1,10.0,67.9,72.4,AB
202223_075,EC204,2022-23,14.1,14.3,5.6,19.2,34.9,D
202223_076,EC204,2022-23,21.3,28.0,7.9,52.6,68.9,AB
202223_077,EC204,2022-23,24.1,17.0,9.3,63.3,67.7,AB
202223_078,EC204,2022-23,22.5,16.0,9.6,38.7,58.2,C
202223_079,EC204,2022-23,23.0,12.1,10.0,62.7,61.4,BC
202223_080,EC204,2022-23,9.5,8.4,6.0,42.2,40.8,D
202223_081,EC204,2022-23,19.8,22.3,7.5,36.4,52.2,C
202223_082,EC204,2022-23,21.1,27.8,8.3,53.7,72.1,AB
202223_083,EC204,2022-23,23.3,20.9,5.8,85.1,82.8,A
202223_084,EC204,2022-23,16.1,12.7,4.0,36.1,39.3,D
202223_085,EC204,2022-23,15.2,19.5,5.6,52.4,53.6,C
202223_086,EC204,2022-23,18.1,15.2,4.3,47.8,52.6,C
202223_087,EC204,2022-23,20.0,18.1,7.4,69.5,66.6,BC
202223_088,EC204,2022-23,21.7,22.6,7.0,57.5,65.2,BC
202223_089,EC204,2022-23,18.5,15.6,7.9,45.9,53.7,C
202223_090,EC204,2022-23,18.5,19.4,10.0,70.8,65.9,BC
202223_091,EC204,2022-23,21.0,21.1,8.4,72.3,72.6,AB
202223_092,EC204,2022-23,19.5,21.1,10.0,70.6,70.7,AB
202223_093,EC204,2022-23,18.6,13.8,8.1,47.9,52.4,C
202223_094,EC204,2022-23,14.0,18.7,5.1,47.7,54.3,C
202223_095,EC204,2022-23,18.5,17.7,10.0,45.0,53.5,C
202223_096,EC204,2022-23,19.8,11.5,6.7,45.7,52.4,C
202223_097,EC204,2022-23,17.6,20.1,8.3,65.2,65.3,BC
202223_098,EC204,2022-23,17.7,26.8,6.3,72.3,71.4,AB
202223_099,EC204,2022-23,22.2,22.5,4.8,64.8,68.9,AB
202223_100,EC204,2022-23,19.8,17.8,7.7,40.6,53.9,C
202223_101,EC204,2022-23,13.7,15.9,7.7,50.9,54.3,C
202223_102,EC204,2022-23,18.2,15.2,7.6,39.4,51.9,C
202223_103,EC204,2022-23,21.3,23.8,5.0,51.4,60.0,BC
202223_104,EC204,2022-23,21.3,18.8,9.1,53.5,61.1,BC
202223_105,EC204,2022-23,19.8,17.8,5.3,73.6,64.4,BC
202223_106,EC204,2022-23,19.5,22.2,10.0,89.8,80.6,A
202223_107,EC204,2022-23,30.0,20.3,7.9,81.3,89.4,A
202223_108,EC204,2022-23,25.6,13.7,8.2,52.2,63.6,BC
202223_109,EC204,2022-23,20.2,15.5,7.6,64.6,60.3,BC
202223_110,EC204,2022-23,14.5,18.8,8.0,62.5,58.1,C
202223_111,EC204,2022-23,15.9,19.6,5.3,35.6,47.9,CD
202223_112,EC204,2022-23,20.2,29.8,7.5,77.1,80.8,A
202223_113,EC204,2022-23,12.2,23.0,7.7,61.1,63.1,BC
202223_114,EC204,2022-23,30.0,30.0,8.0,82.9,88.9,A
202223_115,EC204,2022-23,18.4,12.7,8.3,65.3,61.3,BC
202223_116,EC204,2022-23,19.5,17.5,7.9,61.7,64.3,BC
202223_117,EC204,2022-23,21.1,16.5,7.8,65.8,66.0,BC
202223_118,EC204,2022-23,14.9,12.0,4.4,38.2,35.8,D
202223_119,EC204,2022-23,26.1,22.3,5.2,59.9,66.8,BC
202223_120,EC204,2022-23,19.5,19.0,8.9,49.5,57.2,C
202223_121,EC204,2022-23,23.7,13.2,10.0,66.1,68.1,AB
202223_122,EC204,2022-23,15.7,20.0,8.5,57.9,68.7,AB
202223_123,EC204,2022-23,25.1,17.5,8.6,67.5,71.7,AB
202223_124,EC204,2022-23,19.9,18.7,6.5,68.9,65.8,BC
202223_125,EC204,2022-23,15.5,27.8,7.8,55.6,66.8,BC
202223_126,EC204,2022-23,28.5,20.0,9.4,74.4,80.1,A
202223_127,EC204,2022-23,15.3,6.9,3.7,40.8,40.0,D
202223_128,EC204,2022-23,21.3,17.1,8.9,49.8,60.9,BC
202223_129,EC204,2022-23,21.6,24.7,9.2,65.2,77.9,A
202223_130,EC204,2022-23,25.1,26.4,7.7,62.0,70.2,AB
202223_131,EC204,2022-23,12.5,8.7,7.4,39.6,42.5,D
202223_132,EC204,2022-23,16.1,19.7,6.6,51.2,53.7,C
202223_133,EC204,2022-23,15.1,13.6,7.7,31.6,44.0,CD
202223_134,EC204,2022-23,18.1,18.8,8.2,52.5,56.8,C
202223_135,EC204,2022-23,20.3,28.5,5.8,60.4,67.6,BC
202223_136,EC204,2022-23,17.8,17.2,8.5,72.6,67.4,BC
202223_137,EC204,2022-23,10.6,16.0,6.5,50.4,51.9,C
202223_138,EC204,2022-23,13.1,19.2,9.5,51.6,59.1,C
202223_139,EC204,2022-23,26.0,26.6,7.6,63.2,71.1,AB
202223_140,EC204,2022-23,20.0,14.4,3.9,36.3,45.1,CD
202223_141,EC204,2022-23,17.8,19.5,8.9,60.5,62.3,BC
202223_142,EC204,2022-23,23.2,21.7,8.3,70.6,70.4,AB
202223_143,EC204,2022-23,13.9,15.2,6.9,48.0,49.7,CD
202223_144,EC204,2022-23,23.0,17.1,9.5,49.2,60.1,BC
202223_145,EC204,2022-23,15.4,21.5,5.7,33.7,53.2,C
202223_146,EC204,2022-23,22.8,20.1,10.0,73.2,76.3,A
202223_147,EC204,2022-23,15.6,14.1,4.6,34.5,38.3,D
202223_148,EC204,2022-23,13.6,12.2,5.1,30.2,36.0,D
202223_149,EC204,2022-23,20.1,24.1,8.5,63.2,72.1,AB
202223_150,EC204,2022-23,23.3,19.2,5.1,52.6,65.0,BC
202223_151,EC204,2022-23,9.9,12.7,7.9,68.8,53.4,C
202223_152,EC204,2022-23,25.2,27.6,10.0,69.8,75.4,AB
202223_153,EC204,2022-23,15.4,14.2,8.1,59.8,62.4,BC
202223_154,EC204,2022-23,12.4,16.5,8.6,42.6,50.1,CD
202223_155,EC204,2022-23,21.7,17.2,6.5,69.4,65.0,BC
202223_156,EC204,2022-23,19.8,20.7,5.8,47.9,58.1,C
202223_157,EC204,2022-23,24.8,15.8,8.7,66.2,62.2,BC
202223_158,EC204,2022-23,23.6,30.0,7.5,59.1,72.7,AB
202223_159,EC204,2022-23,21.3,19.9,8.8,29.0,51.7,C
202223_160,EC204,2022-23,24.6,20.5,9.0,61.0,71.9,AB
202223_161,EC204,2022-23,22.5,16.3,5.4,39.0,48.2,CD
202223_162,EC204,2022-23,27.1,25.0,10.0,53.9,71.8,AB
202223_163,EC204,2022-23,23.0,24.5,10.0,48.6,63.6,BC
202223_164,EC204,2022-23,10.5,19.5,8.4,61.2,59.7,BC
202223_165,EC204,2022-23,22.4,25.3,10.0,59.2,69.2,AB
202223_166,EC204,2022-23,16.3,19.9,6.4,72.0,65.5,BC
202223_167,EC204,2022-23,30.0,21.0,5.8,57.1,65.8,BC
202223_168,EC204,2022-23,24.8,24.3,7.0,53.2,67.9,AB
202223_169,EC204,2022-23,18.6,17.4,5.7,42.3,52.9,C
202223_170,EC204,2022-23,16.9,19.9,7.5,58.2,60.5,BC
202223_171,EC204,2022-23,15.9,18.5,8.4,46.4,54.6,C
202223_172,EC204,2022-23,23.3,4.6,8.2,45.0,45.7,CD
202223_173,EC204,2022-23,18.7,23.6,7.5,61.8,65.9,BC
202223_174,EC204,2022-23,22.4,22.2,8.2,66.6,71.1,AB
202223_175,EC204,2022-23,20.7,23.1,7.5,77.0,81.7,A
202223_176,EC204,2022-23,15.3,18.6,10.0,73.0,66.3,BC
202223_177,EC204,2022-23,18.0,25.0,5.6,55.0,65.4,BC
202223_178,EC204,2022-23,24.1,27.7,10.0,54.1,74.1,AB
202223_179,EC204,2022-23,20.1,18.2,9.4,57.5,64.4,BC
202223_180,EC204,2022-23,24.3,27.9,10.0,76.1,87.3,A
202223_181,EC204,2022-23,14.2,15.4,8.4,47.0,52.5,C
