id,user_id,semester,grade,marks,session,subject_name,course_code,credits
25bf50eb-07cd-4301-85d3-202443d37829,286c1ae8-23fa-4fd7-b88b-e1fa43c00d4c,SEM3,BC,53.1,2022-2023 I,DAA,CS215,4.0
35cd7ecc-d702-4fc9-917f-8f284f763820,81969a26-b1cf-42e7-9af8-f452162f67b4,SEM3,BC,49.1,2022-2023 I,DAA,CS215,4.0
e54ab9c8-89c6-41be-a546-2b13ad771f4c,91fb9ba4-00ec-45da-a7ad-92613845b082,SEM3,C,46.3,2022-2023 I,DAA,CS215,4.0
6ed656a7-d28b-4c9f-b827-92493803d405,2756778f-2841-4b29-8935-8df3bb2b3afe,SEM3,BC,57.3,2022-2023 I,DAA,CS215,4.0
cde62e65-284c-4e84-8f1d-1d4bc9f7ad88,226dee5d-93bb-42cc-99c3-13184f862fa2,SEM3,BC,58.7,2022-2023 I,DAA,CS215,4.0
1917b968-cee5-4757-aa51-a374bd86d3e2,529ce25a-2e02-495a-b253-c2cc63f2236d,SEM3,CD,39.4,2022-2023 I,DAA,CS215,4.0
7f267af9-9c00-499e-b9a6-83fbdbd70dc2,e5f3fd48-7a65-4246-a0a6-a3643ab18d32,SEM3,C,41.7,2022-2023 I,DAA,CS215,4.0
61a4152e-1d63-456f-a0ef-940e31ef5da4,9ffc6c52-1029-4998-adf2-47555d64adfa,SEM3,BC,47.1,2022-2023 I,DAA,CS215,4.0
156df379-6a7d-4b0d-b251-caa4683f4ab5,550c1887-1e5d-4198-825b-beaf1e6cee23,SEM3,B,62.2,2022-2023 I,DAA,CS215,4.0
ac5854c4-f244-453d-89c8-a859567721ef,90d123f5-d708-4a74-b485-5b8a97432a3a,SEM3,B,60.5,2022-2023 I,DAA,CS215,4.0
de8789da-681f-4323-874d-92089ad5d61c,847489e1-791f-4348-843d-61cfa1baeb8e,SEM3,D,36.3,2022-2023 I,DAA,CS215,4.0
0d2784fb-7ef5-4700-bd90-216dfa773644,379db308-32b2-4b08-8dcc-ad107557e5a9,SEM3,CD,38.7,2022-2023 I,DAA,CS215,4.0
6d463b2d-28c3-4a11-a3d7-082492618ba0,fa2bcfd6-dadd-463c-896e-52a53ae9c80f,SEM3,B,62.8,2022-2023 I,DAA,CS215,4.0
61909e03-37bd-4ca2-a678-65a2b3fc53e2,5da32a44-50f3-44f2-ade6-0f31d3d02cc8,SEM3,A,73.7,2022-2023 I,DAA,CS215,4.0
b3139582-cb06-4e32-980d-e7b0b298cf81,ab0da659-f261-47e7-b2b1-380678c6bedf,SEM3,BC,52.8,2022-2023 I,DAA,CS215,4.0
8d3763e6-082c-463b-ac47-fb9a222a605f,4740ded2-1b05-4eba-bf39-e7919af7cf65,SEM3,C,44.4,2022-2023 I,DAA,CS215,4.0
dc4c097b-b509-4e8b-abc3-e4925ea5aa0d,9877373d-4de1-4637-9c99-23751039db8b,SEM3,A,67.5,2022-2023 I,DAA,CS215,4.0
a0b5907a-e97a-407d-ae37-0648d24e6a6b,2ac4a4d2-86e8-4bf3-90ca-ded85d6543b2,SEM3,BC,49.2,2022-2023 I,DAA,CS215,4.0
b3501e55-e8dc-41dd-934d-e1f80e6d3a22,0323446f-7cd1-4a88-801e-1bd2c691a557,SEM3,B,62.7,2022-2023 I,DAA,CS215,4.0
8ccde0fe-9c16-4bb0-8351-0e0cd45f8bf2,4446e35c-1bd4-4a6f-acbc-e4247cdc78a3,SEM3,A,73.4,2022-2023 I,DAA,CS215,4.0
74862f4e-7f7c-475a-982f-29441a76e01b,eb030547-5034-4788-bcef-dd9d828bf0a2,SEM3,B,61.4,2022-2023 I,DAA,CS215,4.0
ce65ad04-8b9b-4f95-af96-ba90942782c9,530c5f35-ec04-43da-a8f3-1068fa638cb7,SEM3,BC,54.2,2022-2023 I,DAA,CS215,4.0
5a520ab3-26b7-4ec4-8ba4-a86ef9de6e19,428cb8d0-776d-4571-9096-3986ef3423d9,SEM3,B,62.8,2022-2023 I,DAA,CS215,4.0
18411cbf-e599-4e1c-8b01-dd44543b28f1,a0767db9-30ff-4022-b4cb-9c409625e948,SEM3,C,44.9,2022-2023 I,DAA,CS215,4.0
759097e9-182c-4b53-98f0-62142f6d077f,089eed7b-e88e-4b6e-8a1b-7603f67d14cc,SEM3,BC,50.9,2022-2023 I,DAA,CS215,4.0
24c991bc-2c2f-4268-94eb-f896cab4ad86,8fca2e37-5757-4f33-92bb-da58e4d1f8a7,SEM3,C,45.8,2022-2023 I,DAA,CS215,4.0
c90d52de-7330-44b9-96d4-f839c1097b1e,440a0657-c7ff-436a-b239-315616ccae7b,SEM3,BC,50.6,2022-2023 I,DAA,CS215,4.0
58b59514-5d3f-49e0-8d18-96106331426d,93bf8002-c6d8-456a-93b3-c9de52d75fe0,SEM3,C,46.9,2022-2023 I,DAA,CS215,4.0
96beb89e-4d2e-4685-93e1-01bb844be461,bee6d955-1dc4-4627-9e19-743d291a82ca,SEM3,BC,50.8,2022-2023 I,DAA,CS215,4.0
5c8f0797-d484-4535-a7d0-024d361c411f,0a07c8d9-ec62-4be8-be78-8f39775038a7,SEM3,BC,48.3,2022-2023 I,DAA,CS215,4.0
3c04abbe-d638-473f-a139-02300a765e73,a8841032-535d-4f3f-9628-2532dd52aef3,SEM3,BC,54.4,2022-2023 I,DAA,CS215,4.0
39249627-8589-49eb-89fb-2f17b972b7a7,d7baef38-2236-4e18-a95c-5f20ed626178,SEM3,BC,54.1,2022-2023 I,DAA,CS215,4.0
268aac1d-977f-49ca-8ce1-21deaf48b4fb,8060d2e6-e3de-4609-a838-031a83e9c8f4,SEM3,BC,57.1,2022-2023 I,DAA,CS215,4.0
1cf61799-9855-45a0-aae4-59d050bb89a4,7777a29e-7d0d-4fe9-be52-0aebc3875f37,SEM3,A,71.5,2022-2023 I,DAA,CS215,4.0
916f1f3f-2cf7-40c9-955d-0095b07b4606,75066222-e8f0-4f6b-8402-c3c8fb18f9ce,SEM3,D,33.1,2022-2023 I,DAA,CS215,4.0
4b3cc6e6-140b-4c90-9ad1-11f0908e261c,a7e0af33-c13a-46b1-9288-b8812301a4bb,SEM3,A,70.1,2022-2023 I,DAA,CS215,4.0
c0f8d88c-baea-437f-9e3a-977081cfe01b,109387da-e286-4b5f-94ac-92f75539d167,SEM3,BC,50.2,2022-2023 I,DAA,CS215,4.0
b395c4cc-3277-4356-add8-ff0b8037a9f2,05b26e82-bf96-437e-82e8-96e9b339ecba,SEM3,CD,37.2,2022-2023 I,DAA,CS215,4.0
3362ed13-1a65-4b44-a0d9-48a421fea065,aa79c367-ed44-41ac-b53b-a856034c1c58,SEM3,BC,51.0,2022-2023 I,DAA,CS215,4.0
0bf137e3-5a24-431d-a112-873fd0b0e4c3,634cf692-deaa-4af4-ac41-d453c2c3dd4d,SEM3,BC,54.4,2022-2023 I,DAA,CS215,4.0
1e6fabac-58db-4521-831c-9410aa892d0a,fefddd7f-cd9b-4756-824f-d4b05a0ff472,SEM3,A,67.1,2022-2023 I,DAA,CS215,4.0
4529ae2b-beb9-46e7-bba7-1cbc5425d191,518a010c-da37-4881-bb56-6bc2b7ccbef1,SEM3,CD,39.4,2022-2023 I,DAA,CS215,4.0
0cd8d754-b92e-4c74-a9b2-7825720690a8,43007ab2-e658-4395-be0c-a13bcb96a655,SEM3,BC,56.1,2022-2023 I,DAA,CS215,4.0
35b54676-870e-4595-8c48-c1e776a643e4,5cd4f7b9-a47c-467a-b646-4535d7b82ad3,SEM3,BC,54.8,2022-2023 I,DAA,CS215,4.0
e3ae9f3f-524c-4de6-a91b-719464fa6b7e,4a45bac7-ffcb-4bf2-87cd-9f9f2cae2290,SEM3,D,31.4,2022-2023 I,DAA,CS215,4.0
291e63e3-ef72-41b5-8d6e-accd64c2f597,5a4bd6c8-0078-4b5c-b422-046d99802543,SEM3,CD,37.8,2022-2023 I,DAA,CS215,4.0
eba46c0d-0b5e-4f73-b4b2-33df81f1f7f8,7d7e0969-e8a7-426b-be50-0305d3f4ce9f,SEM3,B,61.0,2022-2023 I,DAA,CS215,4.0
f550023b-78f9-44a5-8543-477457978ab5,6d44cf87-6371-41ac-849e-152813586ff5,SEM3,B,62.3,2022-2023 I,DAA,CS215,4.0
2e346414-5f4d-4899-be18-80bbb1c4a517,97377a85-b600-4098-8472-188f21e0165c,SEM3,A,67.4,2022-2023 I,DAA,CS215,4.0
86921dc4-30d6-4f3a-b680-2390733dddbf,af5d4716-e2b6-455d-b189-2f34243a3a3f,SEM3,B,60.2,2022-2023 I,DAA,CS215,4.0
2f3933a5-959a-4f19-b8f2-ff24f6a9a9da,966dd255-c7f3-487e-a3cb-10d8fd0b2657,SEM3,BC,58.4,2022-2023 I,DAA,CS215,4.0
147f2b6b-303b-46d8-8851-41429852dae6,bc4c1a67-ffb6-4aaf-acba-099533d12d35,SEM3,BC,54.8,2022-2023 I,DAA,CS215,4.0
d52b3840-cc58-4ba5-97ba-409f172cd0f8,ff8b77a6-16ca-4f50-966d-bb237e1a9bf3,SEM3,A,69.0,2022-2023 I,DAA,CS215,4.0
fd469317-c5ad-4b99-99e4-3ed4004e1c57,77f6fa66-6027-43f9-a83a-d8dabb35d244,SEM3,C,42.3,2022-2023 I,DAA,CS215,4.0
18736eea-b382-4efe-bcb8-cdcc0b6148ca,0aa572e4-bab4-45a4-991f-f678ee1d324d,SEM3,BC,51.4,2022-2023 I,DAA,CS215,4.0
ca13a500-dfab-4bc4-95a0-a369cb6183e8,40f8793f-4499-413f-8510-2febe53ea55f,SEM3,BC,58.3,2022-2023 I,DAA,CS215,4.0
4e92db06-66dc-484c-bc43-5a34228bae3f,e0443bb8-ac18-4ff6-b2a1-40edaeb5b09b,SEM3,D,32.7,2022-2023 I,DAA,CS215,4.0
9e5feec5-a9b0-41ad-9dfc-df79501254b6,52d34f98-34c5-475b-ac80-2622cee98403,SEM3,A,70.3,2022-2023 I,DAA,CS215,4.0
4750f36a-0937-4887-b17c-f4b895939874,021945e9-54e0-4fb5-9789-07d708ac093d,SEM3,C,42.9,2022-2023 I,DAA,CS215,4.0
db79f849-73ff-4c25-abc2-14c3feafd884,5af04621-923b-4814-91f7-c1ef934d46e6,SEM3,BC,52.3,2022-2023 I,DAA,CS215,4.0
b2c83992-e0d2-45c2-b5f2-71b2cbbca089,bec75772-6bdc-474c-b744-632e88c4b3aa,SEM3,A,81.3,2022-2023 I,DAA,CS215,4.0
81844217-d151-45f2-8501-038be5ddd912,fb0b5ef5-1545-40da-a810-b4dd93cba7e1,SEM3,C,42.5,2022-2023 I,DAA,CS215,4.0
289eff93-bbf1-4847-847b-167fa14536be,995381ab-1e28-430d-a644-ce5bafee57a9,SEM3,C,46.4,2022-2023 I,DAA,CS215,4.0
b4e98c91-2ea5-41ec-8f2e-caf4f53e37b0,f98cc6e8-e5d1-4208-be0c-25bc44f36923,SEM3,A,73.6,2022-2023 I,DAA,CS215,4.0
aea5bbdc-386f-49fc-ba4a-c402058c82b0,e1acf7e4-2d59-4c26-977b-b53ad4a4605e,SEM3,CD,39.2,2022-2023 I,DAA,CS215,4.0
9f27e1bf-e94a-47af-a80d-af7d5db2231b,4b5294ed-9dcb-4b09-a229-affdde1189d2,SEM3,BC,47.6,2022-2023 I,DAA,CS215,4.0
a51f5eff-e01c-45d1-a9b9-bdfdb950e6b2,719de887-dc50-4cd8-a90d-daf96f21e7ce,SEM3,B,60.0,2022-2023 I,DAA,CS215,4.0
c41aafac-c7ac-4b86-bd9a-0b7729996562,d29123fc-7d30-40c5-ab3f-704ed6b69da1,SEM3,BC,59.2,2022-2023 I,DAA,CS215,4.0
937045e3-f6c3-4131-9f2e-d4c8f94ca266,e713484d-9fd4-431a-9a4b-4cdd5aaefb50,SEM3,B,61.0,2022-2023 I,DAA,CS215,4.0
207af678-4786-4b4c-9e28-7ec746facef4,ba6ebc4e-1914-481b-865c-daf4db1923f5,SEM3,BC,58.1,2022-2023 I,DAA,CS215,4.0
d694506b-bc45-403f-8ca6-623c207e55c0,cd20f5c3-c56e-4abc-844b-c4eb19366e34,SEM3,A,70.7,2022-2023 I,DAA,CS215,4.0
dcee09d4-75d1-4d28-af9d-d4817cb8ffe9,ca029bcd-7a9f-4912-b1f7-a18fab0cfa04,SEM3,A,66.5,2022-2023 I,DAA,CS215,4.0
3983cadd-32ec-4f43-862a-91b86a16ba27,3bc1843c-f552-4aeb-8f9f-3b9983218519,SEM3,B,61.0,2022-2023 I,DAA,CS215,4.0
bf1e8060-8f69-43b1-93ee-ee55a545d044,3208d8e8-f4c2-4679-8b38-4c587061c45c,SEM3,C,44.4,2022-2023 I,DAA,CS215,4.0
eaba6d2a-791c-47fe-a336-2c0912db0574,84b50884-38a1-4eac-9804-33ac69b5c446,SEM3,C,44.0,2022-2023 I,DAA,CS215,4.0
d434169c-a5b3-4e01-86ff-f75b5963d43c,807855e1-53ea-43d7-ab4d-d985642de199,SEM3,D,28.4,2022-2023 I,DAA,CS215,4.0
a46bf29d-6551-4872-8714-915dd7026ba5,63994a68-ef98-45a5-9298-bf9ade4d66a2,SEM3,B,62.2,2022-2023 I,DAA,CS215,4.0
fbd93175-775f-4c29-a4d7-0017e2482541,c921e091-a980-440b-ba4d-cf3460adf157,SEM3,D,29.5,2022-2023 I,DAA,CS215,4.0
84d8fc45-c08e-48dd-a733-5a0952aeac0f,3a9cb350-43b6-40c2-8d05-e37ae218c6b0,SEM3,A,64.7,2022-2023 I,DAA,CS215,4.0
eed18be0-5bea-487c-b2e2-c9c077fea99f,64cb91e1-eaf2-4c34-b75d-59f80f52ab8b,SEM3,A,77.3,2022-2023 I,DAA,CS215,4.0
1f43ffc3-b9a8-43a6-893d-f9d80d2796d7,3bc4d635-0fb7-4610-b955-bcfe4447fd0f,SEM3,CD,39.4,2022-2023 I,DAA,CS215,4.0
fc4a93e7-58dd-4b9f-86b6-024b9a16ef0b,9d5d8694-a4cb-4d7e-a114-5c22fa29aaf2,SEM3,C,44.4,2022-2023 I,DAA,CS215,4.0
40fad7d9-feec-47ec-8244-c74f64b6252e,a042d884-d3e4-42d1-afb8-d9de3f52d7ba,SEM3,C,46.1,2022-2023 I,DBMS,CS213,4.0
0d7c70f6-039c-444a-82e4-d57ff632c438,03023a41-b205-48c0-89a2-65af8d347912,SEM3,AB,65.7,2022-2023 I,DBMS,CS213,4.0
78666114-2fc7-46ec-8cd4-330ad2b40079,31723090-1c05-4dd2-8b26-b9975593cc0b,SEM3,CD,40.3,2022-2023 I,DBMS,CS213,4.0
21db27ad-a0d7-4a05-a4ac-605bc344e692,01299bb0-c3b6-45ce-869f-b4ed1bdde02d,SEM3,BC,51.3,2022-2023 I,DBMS,CS213,4.0
0d88444d-d519-4bfd-810e-e23b9ad893a2,4e123637-2a07-4914-95b4-972a75689876,SEM3,C,45.4,2022-2023 I,DBMS,CS213,4.0
f8ed687a-f290-4a4c-937d-f452175c2a4c,01860b89-6f02-458f-ab5d-70c54519b6f3,SEM3,BC,49.5,2022-2023 I,DBMS,CS213,4.0
55c5ee69-2bea-4648-bf57-5f4650704ca5,4e1342ff-cb1a-4183-ba2c-a287864f7ef6,SEM3,A,72.6,2022-2023 I,DBMS,CS213,4.0
73cdcb74-3872-43ef-bdde-802eaeb895cb,12fc2349-f3d1-4845-a23b-da6b5a07c208,SEM3,CD,38.8,2022-2023 I,DBMS,CS213,4.0
337ac1fb-d47e-4a52-bf5d-ead2da62fc4d,4d51a9bd-8dce-4b84-bb26-d1dcb3cc7647,SEM3,BC,54.3,2022-2023 I,DBMS,CS213,4.0
e0bfc1c8-c1d6-4049-a4c6-d7e7d5d28645,bdcac863-c754-44bf-a769-f1b24c6b006a,SEM3,B,57.3,2022-2023 I,DBMS,CS213,4.0
70a1aba4-e08e-48ac-b8e7-68d9d4cd007b,8a1dbc03-da28-41db-bebe-76f75c9acc66,SEM3,AB,66.1,2022-2023 I,DBMS,CS213,4.0
38870779-8c28-4099-8689-88ea5c93dc96,03191c29-8f90-421b-9f52-2a669b5b12f0,SEM3,D,34.3,2022-2023 I,DBMS,CS213,4.0
53c35ca6-5eb9-47cb-8158-3b6182f2cab9,bf8bf3b5-aad5-44c1-8d0f-b9ee7c248b1c,SEM3,A,70.0,2022-2023 I,DBMS,CS213,4.0
7d0bbf9f-4e04-4d78-b396-c5c4c7d68029,0f58c303-feba-4cb3-b9e6-d791177e9f86,SEM3,B,59.8,2022-2023 I,DBMS,CS213,4.0
c779f64f-6828-411e-ba83-8d19cbe772fa,5b40f5a3-8fde-42b5-a8d2-747d2a46d5ba,SEM3,AB,66.4,2022-2023 I,DBMS,CS213,4.0
27722c4f-5a40-4182-827e-c9eb546f6f68,55570e31-6ccb-4bbe-81bc-446a29f78c56,SEM3,BC,54.3,2022-2023 I,DBMS,CS213,4.0
47120e97-76ec-4b88-9360-cafadfec6841,0410b6ec-b399-4cf9-94cf-959249f2ba17,SEM3,D,28.7,2022-2023 I,DBMS,CS213,4.0
46cf044d-8a16-4563-9401-2181f72139dd,2d8f5f0f-47f1-42b1-ab2f-6c2fa1d9e012,SEM3,C,43.5,2022-2023 I,DBMS,CS213,4.0
06e651cd-553e-403c-b20b-af948d15eaba,43a65f55-c5e0-40a1-afba-7e37035944a0,SEM3,AB,65.5,2022-2023 I,DBMS,CS213,4.0
a5326c2f-cc6e-4ea0-bcf5-32a537dfa7f9,a1e8cb86-0428-47e2-aa76-ab3db494f667,SEM3,BC,53.8,2022-2023 I,DBMS,CS213,4.0
1c58538c-c02c-40f7-b242-78afc1901548,e4ad54e4-eaca-4480-a2b8-2e9b94045c38,SEM3,BC,52.5,2022-2023 I,DBMS,CS213,4.0
47d037f9-7df1-412d-832a-a41da1ff2708,65ff4452-818a-421f-9cd2-8259eb34f047,SEM3,A,80.1,2022-2023 I,DBMS,CS213,4.0
5a318c99-6dd2-48d9-813a-7d96ecdc21e0,eec1dd29-f4dd-474d-8381-6587731bb04d,SEM3,A,86.3,2022-2023 I,DBMS,CS213,4.0
1acef4fc-9373-4ea0-b2b2-31ec29abf112,d32cdf69-1de8-4361-b030-75070aa19369,SEM3,BC,52.7,2022-2023 I,DBMS,CS213,4.0
aa4b65b8-fb98-43f8-9f6a-a92a1b0c665c,b2520f90-cea4-44a1-8c51-469a10a2da53,SEM3,A,82.2,2022-2023 I,DBMS,CS213,4.0
e43efe96-f734-47f5-a440-bd98b0256347,72a2834c-2a14-4539-af6a-141f0f87f51b,SEM3,F,23.3,2022-2023 I,DBMS,CS213,4.0
45f16378-1665-41f6-a28c-c862be400719,3aa74ff9-7b0e-4dfa-b328-095a395d147d,SEM3,F,22.5,2022-2023 I,DBMS,CS213,4.0
d6ff0757-76ae-498b-93ba-c3f13ac20b2c,0f9807a0-ff00-41b7-955c-a9ec3933378b,SEM3,AB,66.3,2022-2023 I,DBMS,CS213,4.0
001a22f6-3911-4792-93d4-d2a32c805f8a,2edbf8ea-e169-4c3f-a0ae-b83b3f27d089,SEM3,BC,49.3,2022-2023 I,DBMS,CS213,4.0
42b7984c-1b5d-47a5-86aa-bcc6742a4de6,1ef6559b-2de5-4f8d-b32d-8656f737127b,SEM3,B,61.9,2022-2023 I,DBMS,CS213,4.0
6da6ccb9-2bd8-418c-ae9e-dd22db8500da,fbd5e852-805e-419f-8a3a-fdb38291d79b,SEM3,B,61.0,2022-2023 I,DBMS,CS213,4.0
5a5c9468-a199-45c8-9b84-27dd27dfe3db,19e8147a-66fa-4d06-bd87-6ab49fcd8e89,SEM3,BC,51.9,2022-2023 I,DBMS,CS213,4.0
18f078e6-5f4a-4c5c-8a52-1a7aa9dcc486,964e2c2f-5e31-44de-b5df-3cf58ae2c743,SEM3,AB,63.5,2022-2023 I,DBMS,CS213,4.0
72cd3bf4-c432-4eb3-a806-30fdb595c767,fa7f55c9-c33f-4427-9100-0858b19eea91,SEM3,B,55.5,2022-2023 I,DBMS,CS213,4.0
32d96dc0-507f-4e5e-a12d-7148964797c8,f3e9a33a-d122-4642-a906-9ae0d5d52db1,SEM3,D,30.3,2022-2023 I,DBMS,CS213,4.0
ab3ae9e2-74ed-4881-ad7e-85273d25d6d9,b976d179-6ecc-49b8-8c65-3c27ddd91f33,SEM3,B,56.5,2022-2023 I,DBMS,CS213,4.0
28fb7c24-85b5-49b2-8c59-b61b1435ef06,a43a2d9f-6e46-4a78-a168-b3e9332fedbb,SEM3,B,56.0,2022-2023 I,DBMS,CS213,4.0
3857436e-8245-4b05-9b90-93c84546f0dd,d98860bb-375c-4586-a1ed-6c847aaac586,SEM3,A,80.7,2022-2023 I,DBMS,CS213,4.0
393581d4-e694-46e5-9255-df7a201c18f7,8f796f62-b45a-4de1-828a-66c1ed7d37d0,SEM3,D,36.3,2022-2023 I,DBMS,CS213,4.0
60abf254-3914-41c4-8afd-da470245898a,8be70ceb-c719-40ad-99cb-9a2341c7cecd,SEM3,BC,53.5,2022-2023 I,DBMS,CS213,4.0
71c4fa93-3ec6-4f67-9b5a-e42c11370404,877455f3-281f-45d8-81a7-57dc9bfe03c7,SEM3,C,46.9,2022-2023 I,DBMS,CS213,4.0
ac35ea53-274f-48df-8e1c-321eb89e36a3,e92f63bf-6316-432a-abb9-dfbc94c0ab93,SEM3,BC,51.3,2022-2023 I,DBMS,CS213,4.0
12cd7892-a4e6-4c52-8659-fc329cd92f73,e4486a90-81a1-4ce0-a773-980e20cde54a,SEM3,A,78.1,2022-2023 I,DBMS,CS213,4.0
ac834602-360b-4c58-ba5d-3f2dcdc080b6,a44117df-5dc1-41c0-b0a9-db72fa849db2,SEM3,B,58.9,2022-2023 I,DBMS,CS213,4.0
72352330-50a2-42ae-88df-387b1af1c09a,9a939211-cf11-412f-9394-0abd5fa564b0,SEM3,C,46.3,2022-2023 I,DBMS,CS213,4.0
81bc0568-581b-46a7-b271-96217735ed75,404d2803-ed96-4c76-ac7d-2104ef289d5d,SEM3,B,55.6,2022-2023 I,DBMS,CS213,4.0
83989a75-80e0-49be-bfaa-bb1bc705ad8f,b3eff659-ecce-4156-ae32-2530620722f2,SEM3,AB,64.7,2022-2023 I,DBMS,CS213,4.0
97996829-d3b3-4820-a751-b6cc09e7c0f9,81391501-4bf5-46b7-8da7-0e03f4292bb8,SEM3,CD,38.3,2022-2023 I,DBMS,CS213,4.0
cdca8263-6d80-4e6c-9246-f8b56a092e03,75b7966d-5de8-4270-a8be-8e54c7b67d00,SEM3,BC,49.3,2022-2023 I,DBMS,CS213,4.0
f21656ef-d4d0-4422-aab5-2a57c4e50db6,2c0af677-4708-410e-8ef6-f3900d3ad0df,SEM3,A,76.4,2022-2023 I,DBMS,CS213,4.0
7e313962-6ee7-4899-9c76-337c952c4127,879ebd26-f976-4a68-9240-6db667705393,SEM3,AB,66.1,2022-2023 I,DBMS,CS213,4.0
19783324-5eae-492f-8e35-59a9a95a5082,e3af75bd-5132-4b15-a9f1-2d20f7132a64,SEM3,BC,52.6,2022-2023 I,DBMS,CS213,4.0
6a7eb03e-4764-4fac-a0a2-c6b253cd0a08,ac1f0dd9-a6ea-4063-a576-5d7d004aaab3,SEM3,C,46.1,2022-2023 I,DBMS,CS213,4.0
ca702721-9468-4574-8b3b-8dd3dcb1598f,149200e8-654a-4900-b66d-33a9960a9812,SEM3,BC,50.9,2022-2023 I,DBMS,CS213,4.0
e094ef2f-c719-4348-bff5-a73e8738dfbd,07bf496f-0ef3-44bf-a365-1d64e24bf751,SEM3,D,30.0,2022-2023 I,DBMS,CS213,4.0
57462242-bf21-4f5e-a047-039a40d30751,3ca4b7a3-437e-42df-a59b-e58da016bde0,SEM3,A,67.4,2022-2023 I,DBMS,CS213,4.0
c6c84cc8-5b8a-4bd8-b43f-55fc264ade5a,c9704788-8afe-43e1-b65b-573dd8c99aa8,SEM3,B,58.4,2022-2023 I,DBMS,CS213,4.0
